,playerID,W,L,G,GS,CG,SV,SHO,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,IP,ERA,TimeFrame,Name,FinalYear,cluster_label
526,bannifl01,134,143,431,363,62,0,16,7164,2320,1078,291,846,1723,0.2446225221425559,39.0,84,40.0,9,10187.0,13,1189,79.0,61.0,171.0,15,0.0,,2388.0,4.062814070351759,1977 - 1992,Floyd Bannister,1992,8
527,clancji01,140,167,472,381,74,10,11,7552,2513,1182,244,947,1422,0.2496770988574267,45.0,101,32.0,4,10772.0,38,1304,70.0,84.0,212.0,15,0.0,,2517.333333333333,4.225900423728813,1977 - 1991,Jim Clancy,1991,7
528,hernawi01,70,63,744,11,0,147,0,3134,952,392,97,349,788,0.2329906999510523,79.0,37,25.0,10,4366.0,419,431,65.0,36.0,72.0,13,0.0,,1044.6666666666667,3.3771537970644543,1977 - 1989,Willie Hernandez,1989,3
529,honeyri01,109,143,797,268,47,38,11,6480,2183,893,185,657,1038,0.2519912270576013,81.0,45,50.0,23,9141.0,118,1034,99.0,73.0,235.0,21,0.0,,2160.0,3.720833333333333,1977 - 1997,Rick Honeycutt,1997,4
530,humeto01,57,71,543,55,5,92,0,3258,1106,465,88,384,536,0.2534372135655362,87.0,26,24.0,2,4645.0,267,521,63.0,43.0,96.0,11,0.0,,1086.0,3.8535911602209945,1977 - 1987,Tom Hume,1987,3
531,lampde01,96,96,639,163,21,35,7,5492,1975,799,122,549,857,0.264497120664256,86.0,44,35.0,14,7823.0,173,915,95.0,40.0,215.0,16,0.0,,1830.6666666666667,3.928077203204661,1977 - 1992,Dennis Lamp,1992,-1
532,morrija02,254,186,549,527,175,0,28,11472,3567,1657,389,1390,2478,0.2371833233592659,99.0,206,58.0,27,16120.0,10,1815,113.0,114.0,299.0,18,1.0,Veterans,3824.0,3.8998430962343096,1977 - 1994,Jack Morris,1994,1
533,schatda01,69,68,504,121,18,10,4,3951,1257,548,128,475,748,0.2413594470046083,64.0,56,23.0,5,5569.0,117,617,59.0,41.0,107.0,15,0.0,,1317.0,3.744874715261959,1977 - 1991,Dan Schatzeder,1991,2
534,shirlbo01,67,94,434,162,16,18,2,4296,1432,608,127,543,790,0.25,72.0,15,20.0,11,6106.0,105,689,73.0,54.0,116.0,11,0.0,,1432.0,3.82122905027933,1977 - 1987,Bob Shirley,1987,2
535,sorenla01,93,103,346,235,69,6,10,5209,1960,800,147,402,569,0.2733993583484447,49.0,31,31.0,20,7385.0,45,894,62.0,56.0,175.0,11,0.0,,1736.3333333333333,4.146669226339029,1977 - 1988,Lary Sorensen,1988,10
536,sotoma01,100,92,297,224,72,4,13,5191,1395,667,172,657,1449,0.2118129365320376,50.0,37,28.0,20,7147.0,20,732,73.0,53.0,70.0,12,0.0,,1730.3333333333333,3.46927374301676,1977 - 1988,Mario Soto,1988,10
537,stanlbo01,115,97,637,85,21,132,7,5121,1858,690,113,471,693,0.2662272531881358,87.0,22,41.0,2,7238.0,377,797,79.0,58.0,255.0,13,0.0,,1707.0,3.637961335676626,1977 - 1989,Bob Stanley,1989,10
538,whitsed01,126,123,452,333,35,8,12,6720,2240,944,211,698,1266,0.25,54.0,32,29.0,14,9479.0,48,1045,101.0,78.0,160.0,15,0.0,,2240.0,3.792857142857143,1977 - 1991,Ed Whitson,1991,5
539,berenju01,67,62,490,95,5,32,2,3616,1034,522,116,604,975,0.2223655913978494,42.0,43,31.0,19,5169.0,157,576,32.0,42.0,71.0,15,0.0,,1205.3333333333333,3.8976769911504423,1978 - 1992,Juan Berenguer,1992,3
540,darwida01,171,182,716,371,53,32,9,9050,2951,1286,321,874,1942,0.2458961753187234,101.0,52,81.0,17,12716.0,171,1431,124.0,111.0,194.0,21,0.0,,3016.6666666666665,3.836685082872928,1978 - 1998,Danny Darwin,1998,1
541,davisro02,47,53,481,0,0,130,0,2240,735,336,82,300,597,0.2470588235294117,56.0,39,22.0,8,3217.0,340,361,35.0,34.0,56.0,11,0.0,,746.6666666666666,4.05,1978 - 1988,Ron Davis,1988,0
542,lacosmi01,98,103,415,243,26,12,9,5219,1786,777,99,725,783,0.2549607423269093,86.0,55,29.0,23,7496.0,61,885,91.0,48.0,210.0,14,0.0,,1739.6666666666667,4.019735581529028,1978 - 1991,Mike LaCoss,1991,10
543,mcwilla01,78,90,370,224,34,3,13,4675,1548,690,137,542,940,0.2487546199582195,58.0,52,52.0,15,6702.0,44,768,98.0,31.0,109.0,13,0.0,,1558.3333333333333,3.9850267379679143,1978 - 1990,Larry McWilliams,1990,2
544,mirabpa01,19,29,298,33,3,13,1,1499,526,247,43,239,258,0.2597530864197531,29.0,17,13.0,1,2236.0,86,284,26.0,24.0,47.0,13,0.0,,499.6666666666667,4.448965977318212,1978 - 1990,Paul Mirabella,1990,0
545,morgami01,141,186,597,411,46,8,10,8317,2943,1303,270,938,1403,0.2613676731793961,77.0,105,73.0,5,11872.0,56,1431,124.0,75.0,332.0,22,0.0,,2772.333333333333,4.230010821209571,1978 - 2002,Mike Morgan,2002,6
546,rawlesh01,111,118,469,230,41,40,7,5614,1934,836,153,734,991,0.2562268150503444,64.0,54,28.0,6,8062.0,140,917,96.0,65.0,181.0,12,0.0,,1871.3333333333333,4.020662629141432,1978 - 1989,Shane Rawley,1989,11
547,robindo01,109,106,524,229,34,57,6,5875,1894,824,175,643,1251,0.2437894194877075,89.0,74,27.0,15,8252.0,185,907,86.0,69.0,115.0,15,0.0,,1958.3333333333333,3.786893617021277,1978 - 1992,Don Robinson,1992,-1
548,sandesc01,163,143,472,407,43,5,14,7685,2590,1093,297,625,1611,0.2520681265206813,51.0,39,43.0,22,10709.0,18,1209,94.0,94.0,150.0,19,0.0,,2561.6666666666665,3.8400780741704623,1978 - 1996,Scott Sanderson,1996,7
549,stewada01,168,129,523,348,55,19,9,7889,2499,1154,264,1034,1741,0.240566037735849,46.0,119,62.0,23,11251.0,87,1259,93.0,94.0,172.0,16,0.0,,2629.6666666666665,3.949550006337939,1978 - 1995,Dave Stewart,1995,6
550,troutst01,88,92,301,236,32,4,9,4504,1665,697,90,578,656,0.26989787647917,48.0,50,33.0,16,6550.0,25,791,73.0,42.0,199.0,12,0.0,,1501.3333333333333,4.178285968028419,1978 - 1989,Steve Trout,1989,2
551,welchbo01,211,146,506,462,61,8,28,9276,2894,1191,267,1034,1969,0.2377978635990139,60.0,55,79.0,45,12956.0,20,1310,122.0,83.0,209.0,17,0.0,,3092.0,3.4666882276843465,1978 - 1994,Bob Welch,1994,1
552,allenne01,58,70,434,59,7,75,6,2965,985,426,73,417,611,0.2493670886075949,68.0,39,9.0,3,4248.0,222,464,54.0,37.0,86.0,11,0.0,,988.3333333333334,3.879258010118044,1979 - 1989,Neil Allen,1989,3
553,clearma01,71,49,481,1,0,83,0,2413,674,344,60,554,804,0.2183349530288305,45.0,49,35.0,8,3614.0,337,397,35.0,40.0,54.0,11,0.0,,804.3333333333334,3.8491504351429753,1979 - 1990,Mark Clear,1990,0
554,dotsori01,111,113,305,295,55,0,11,5572,1884,872,194,740,973,0.2526824034334764,24.0,46,40.0,12,8034.0,7,964,58.0,61.0,178.0,12,0.0,,1857.3333333333333,4.225412778176597,1979 - 1990,Richard Dotson,1990,11
555,gleatje01,15,23,307,16,1,26,0,1342,433,211,40,199,265,0.2439436619718309,22.0,21,11.0,4,1910.0,123,232,18.0,26.0,47.0,12,0.0,,447.3333333333333,4.245156482861401,1979 - 1992,Jerry Don Gleaton,1992,0
556,gullibi01,162,136,398,390,54,0,11,7680,2659,1118,282,622,1279,0.2571815456040236,82.0,56,34.0,8,10744.0,3,1228,95.0,85.0,162.0,14,0.0,,2560.0,3.93046875,1979 - 1994,Bill Gullickson,1994,7
557,leibrch01,140,119,394,346,52,2,18,6924,2390,952,172,656,1121,0.2566029632810822,44.0,63,37.0,31,9774.0,17,1068,110.0,60.0,180.0,14,0.0,,2308.0,3.712305025996534,1979 - 1993,Charlie Leibrandt,1993,5
558,mahleri01,96,111,392,271,43,6,9,5854,2069,866,165,606,952,0.2611384576549287,70.0,41,35.0,23,8306.0,32,972,100.0,50.0,185.0,13,0.0,,1951.3333333333333,3.994192005466348,1979 - 1991,Rick Mahler,1991,9
559,nolesdi01,36,53,277,96,3,11,3,2581,909,436,66,338,455,0.260458452722063,27.0,23,35.0,16,3782.0,68,490,40.0,28.0,63.0,11,0.0,,860.3333333333334,4.561022859356839,1979 - 1990,Dickie Noles,1990,0
560,oroscje01,87,80,1252,4,0,144,0,3886,1055,455,113,581,1179,0.2135195304594211,86.0,40,34.0,11,5460.0,501,512,56.0,54.0,81.0,24,0.0,,1295.3333333333333,3.161348430262481,1979 - 2003,Jesse Orosco,2003,3
561,petryda01,125,104,370,300,52,1,11,6241,1984,912,218,852,1063,0.2412158054711246,74.0,77,47.0,7,8860.0,22,1025,67.0,57.0,213.0,13,0.0,,2080.333333333333,3.945521551033488,1979 - 1991,Dan Petry,1991,4
562,quiseda01,56,46,674,0,0,244,0,3130,1064,320,59,162,379,0.2536957558416786,70.0,4,7.0,5,4247.0,553,356,49.0,40.0,130.0,12,0.0,,1043.3333333333333,2.76038338658147,1979 - 1990,Dan Quisenberry,1990,3
563,reardje01,73,77,880,0,0,367,0,3397,1000,397,109,358,877,0.2274277916761428,65.0,20,27.0,4,4720.0,695,426,58.0,34.0,46.0,16,0.0,,1132.3333333333333,3.155431262879011,1979 - 1994,Jeff Reardon,1994,3
564,righeda01,82,79,718,89,13,252,2,4211,1287,540,95,591,1112,0.2340851218624954,48.0,40,21.0,19,5988.0,474,602,66.0,41.0,122.0,16,0.0,,1403.6666666666667,3.4623604844455,1979 - 1995,Dave Righetti,1995,2
565,scottmi03,124,108,347,319,45,3,22,6206,1858,813,173,627,1469,0.230406746031746,53.0,39,33.0,19,8571.0,13,908,100.0,65.0,122.0,13,0.0,,2068.6666666666665,3.5370609087979377,1979 - 1991,Mike Scott,1991,9
566,stiebda01,176,137,443,412,103,3,30,8686,2572,1106,225,1034,1669,0.2284597619470598,36.0,51,129.0,14,12072.0,14,1225,98.0,70.0,235.0,16,0.0,,2895.333333333333,3.4379461201934145,1979 - 1998,Dave Stieb,1998,6
567,tudorjo01,117,72,281,263,50,1,16,5391,1677,623,156,475,988,0.2372665534804753,32.0,18,29.0,10,7368.0,5,700,69.0,45.0,137.0,12,0.0,,1797.0,3.1202003338898163,1979 - 1990,John Tudor,1990,10
568,boddimi01,134,116,342,309,63,3,16,6371,2082,897,188,721,1330,0.2463030876611854,39.0,60,87.0,8,8999.0,15,992,54.0,50.0,194.0,14,0.0,,2123.6666666666665,3.8014440433213,1980 - 1993,Mike Boddicker,1993,4
569,davisma01,51,84,624,85,4,96,2,3435,1068,530,129,534,1007,0.2371752165223184,63.0,63,28.0,12,4955.0,265,582,60.0,44.0,90.0,15,0.0,,1145.0,4.165938864628821,1980 - 1997,Mark Davis,1997,3
570,howelja01,58,53,568,21,2,155,0,2534,782,313,57,291,666,0.2358262967430639,38.0,31,19.0,8,3564.0,360,335,36.0,34.0,49.0,15,0.0,,844.6666666666666,3.335043409629045,1980 - 1994,Jay Howell,1994,0
571,howest01,47,41,497,0,0,91,0,1818,586,204,32,139,328,0.2437603993344426,54.0,17,18.0,2,2523.0,257,239,45.0,24.0,60.0,12,0.0,,606.0,3.0297029702970297,1980 - 1996,Steve Howe,1996,0
572,hurstbr01,145,113,379,359,83,0,23,7252,2463,1052,258,740,1689,0.2535254760679362,42.0,56,28.0,19,10204.0,5,1143,87.0,55.0,195.0,15,0.0,,2417.333333333333,3.916712630998345,1980 - 1994,Bruce Hurst,1994,8
573,lapoida01,80,86,294,227,11,1,4,4460,1598,664,117,559,802,0.2637834268735556,47.0,53,17.0,25,6471.0,17,748,78.0,48.0,152.0,12,0.0,,1486.6666666666667,4.019730941704036,1980 - 1991,Dave LaPoint,1991,2
574,ojedabo01,115,98,351,291,41,1,16,5653,1833,764,145,676,1128,0.2448570665241784,48.0,30,24.0,19,7977.0,26,856,85.0,62.0,151.0,15,0.0,,1884.3333333333333,3.649035910136211,1980 - 1994,Bob Ojeda,1994,11
575,perezpa01,67,68,207,193,21,0,4,3733,1167,475,107,344,822,0.2381632653061224,53.0,36,25.0,23,5146.0,6,541,57.0,24.0,105.0,11,0.0,,1244.3333333333333,3.4355746048754354,1980 - 1991,Pascual Perez,1991,3
576,pricejo02,45,49,372,84,10,13,1,2718,839,367,95,337,657,0.2358729266235592,41.0,15,9.0,5,3822.0,84,408,41.0,28.0,60.0,11,0.0,,906.0,3.6456953642384105,1980 - 1990,Joe Price,1990,0
577,smithda02,53,53,609,1,0,216,0,2428,700,240,34,283,548,0.2237851662404092,64.0,28,13.0,22,3357.0,432,280,55.0,19.0,57.0,13,0.0,,809.3333333333334,2.6688632619439865,1980 - 1992,Dave Smith,1992,0
578,smithle02,71,92,1022,6,0,478,0,3868,1133,434,89,486,1251,0.2265546890621875,100.0,47,10.0,4,5388.0,802,475,63.0,38.0,77.0,18,1.0,,1289.3333333333333,3.0294725956566704,1980 - 1997,Lee Smith,1997,3
579,valenfe01,173,153,453,424,113,2,31,8790,2718,1154,226,1151,2074,0.2361835245046923,65.0,119,25.0,11,12398.0,10,1303,182.0,69.0,209.0,17,0.0,,2930.0,3.5447098976109217,1980 - 1997,Fernando Valenzuela,1997,6
580,walkbo01,105,81,350,259,16,5,6,4998,1671,746,143,606,848,0.2505623031938821,36.0,80,40.0,33,7127.0,24,829,74.0,42.0,137.0,14,0.0,,1666.0,4.030012004801921,1980 - 1993,Bob Walk,1993,2
581,agostju01,40,33,543,2,0,29,0,1879,639,279,30,248,307,0.2537728355837966,47.0,21,30.0,7,2713.0,198,313,55.0,28.0,79.0,13,0.0,,626.3333333333334,4.0090473656200105,1981 - 1993,Juan Agosto,1993,0
582,bedrost01,76,79,732,46,0,184,0,3573,1026,447,114,518,921,0.223091976516634,75.0,33,27.0,4,5044.0,439,496,44.0,39.0,86.0,14,0.0,,1191.0,3.3778337531486144,1981 - 1995,Steve Bedrosian,1995,3
583,blackbu02,121,116,398,296,32,11,12,6160,1978,876,217,623,1039,0.2430572622265913,49.0,65,49.0,43,8627.0,42,982,78.0,55.0,160.0,15,0.0,,2053.333333333333,3.839610389610389,1981 - 1995,Buddy Black,1995,9
584,dipinfr01,35,38,514,6,0,56,0,2100,673,298,53,269,515,0.2426974395961053,57.0,28,10.0,4,2981.0,216,332,39.0,37.0,60.0,12,0.0,,700.0,3.8314285714285714,1981 - 1993,Frank DiPino,1993,0
585,hammaat01,59,67,249,152,18,5,6,3236,1051,439,94,287,615,0.245159785397714,54.0,28,13.0,26,4509.0,29,493,61.0,32.0,97.0,12,0.0,,1078.6666666666667,3.662855377008652,1981 - 1995,Atlee Hammaker,1995,3
586,harrigr01,74,90,703,98,4,54,0,4401,1329,601,129,652,1141,0.2319371727748691,86.0,72,54.0,13,6293.0,266,689,72.0,51.0,132.0,15,0.0,,1467.0,3.687116564417178,1981 - 1995,Greg Harris,1995,2
587,leachte01,38,27,376,21,3,10,3,2100,688,245,38,197,331,0.2467718794835007,48.0,3,13.0,3,2928.0,138,279,44.0,18.0,47.0,11,0.0,,700.0,3.15,1981 - 1993,Terry Leach,1993,0
588,learyti01,78,105,292,224,25,1,9,4474,1570,723,147,535,888,0.2597617471872931,45.0,87,52.0,13,6437.0,28,792,53.0,42.0,146.0,13,0.0,,1491.3333333333333,4.363209655789003,1981 - 1994,Tim Leary,1994,2
589,mcgafan01,38,33,363,62,3,24,1,2500,773,313,55,294,610,0.2361747632141766,38.0,30,16.0,16,3505.0,112,351,39.0,22.0,60.0,11,0.0,,833.3333333333334,3.3804,1981 - 1991,Andy McGaffigan,1991,0
590,nelsoge01,53,64,493,68,6,28,1,3240,1061,496,117,418,655,0.2466868170192978,32.0,46,33.0,10,4652.0,153,537,43.0,40.0,91.0,13,0.0,,1080.0,4.133333333333334,1981 - 1993,Gene Nelson,1993,3
591,penaal01,56,52,503,72,12,74,7,3173,959,365,75,331,839,0.2320909970958373,62.0,16,13.0,10,4398.0,232,427,36.0,29.0,63.0,15,0.0,,1057.6666666666667,3.1058934762054835,1981 - 1996,Alejandro Pena,1996,3
592,powerte01,68,69,564,85,5,70,3,3480,1159,515,97,452,701,0.2498383272256951,73.0,32,17.0,10,4982.0,233,568,66.0,57.0,91.0,13,0.0,,1160.0,3.9956896551724137,1981 - 1993,Ted Power,1993,3
593,schmida01,54,55,376,63,5,50,3,2706,962,389,85,237,479,0.26226826608506,47.0,27,18.0,3,3826.0,179,434,39.0,24.0,80.0,12,0.0,,902.0,3.8813747228381374,1981 - 1992,Dave Schmidt,1992,0
594,shower01,101,89,332,235,35,7,11,4965,1526,673,171,610,971,0.2350947465721768,49.0,36,46.0,22,6968.0,37,739,85.0,43.0,118.0,11,0.0,,1655.0,3.659818731117825,1981 - 1991,Eric Show,1991,2
595,smithbr01,108,94,365,255,23,6,8,5374,1725,702,140,432,1028,0.2429919707000986,43.0,33,48.0,16,7434.0,39,808,87.0,47.0,146.0,13,0.0,,1791.3333333333333,3.526981764049125,1981 - 1993,Bryn Smith,1993,10
596,wittmi01,117,116,341,299,72,6,11,6325,2066,898,183,713,1373,0.2462161840066738,40.0,73,55.0,5,8927.0,22,1012,59.0,68.0,193.0,12,0.0,,2108.333333333333,3.833359683794466,1981 - 1993,Mike Witt,1993,4
597,davisst02,113,96,442,239,30,11,5,5342,1792,796,136,687,1048,0.2511914774320157,59.0,81,20.0,10,7623.0,85,866,50.0,57.0,172.0,13,0.0,,1780.6666666666667,4.023212280044927,1982 - 1994,Storm Davis,1994,10
598,dayleke01,33,45,385,33,0,39,0,1721,564,232,42,225,406,0.2468271334792122,49.0,26,8.0,1,2450.0,145,273,33.0,20.0,54.0,11,0.0,,573.6666666666666,3.6397443346891354,1982 - 1993,Ken Dayley,1993,0
599,eichhma01,48,43,563,7,0,32,0,2657,825,295,49,270,640,0.2369327972429638,63.0,25,40.0,11,3702.0,226,328,52.0,33.0,76.0,11,0.0,,885.6666666666666,2.9977418140760257,1982 - 1996,Mark Eichhorn,1996,0
600,gottji01,56,74,554,96,10,91,3,3360,1081,481,85,466,837,0.2434136455753208,63.0,52,23.0,15,4828.0,261,546,57.0,30.0,84.0,14,0.0,,1120.0,3.8651785714285714,1982 - 1995,Jim Gott,1995,3
601,heatone01,80,96,382,202,22,10,6,4521,1589,732,163,524,699,0.2600654664484452,51.0,30,32.0,21,6481.0,62,804,60.0,54.0,131.0,12,0.0,,1507.0,4.371599203715992,1982 - 1993,Neal Heaton,1993,2
602,henketo01,41,42,642,0,0,311,0,2369,607,234,64,255,861,0.2039650537634408,29.0,30,9.0,3,3194.0,548,252,27.0,30.0,36.0,14,0.0,,789.6666666666666,2.666948079358379,1982 - 1995,Tom Henke,1995,0
603,jonesdo01,69,79,846,4,0,303,0,3385,1155,414,86,247,909,0.2544052863436123,53.0,18,39.0,6,4754.0,640,465,56.0,38.0,87.0,16,0.0,,1128.3333333333333,3.302215657311669,1982 - 2000,Doug Jones,2000,3
604,mooremi01,161,176,450,440,79,2,16,8495,2858,1381,291,1156,1667,0.2517396282920814,61.0,135,55.0,11,12203.0,6,1516,71.0,84.0,261.0,14,0.0,,2831.6666666666665,4.389287816362566,1982 - 1995,Mike Moore,1995,6
605,nunezed01,28,36,427,14,0,54,0,1957,666,304,74,280,508,0.2539077392298894,38.0,23,19.0,10,2866.0,211,345,34.0,27.0,45.0,13,0.0,,652.3333333333334,4.194174757281553,1982 - 1994,Ed Nunez,1994,0
606,terrewa01,111,124,321,294,56,0,14,5960,2090,931,187,748,929,0.2596273291925466,60.0,61,37.0,5,8569.0,10,1031,85.0,62.0,239.0,11,0.0,,1986.6666666666667,4.217617449664429,1982 - 1992,Walt Terrell,1992,9
607,violafr01,176,150,421,420,74,0,16,8509,2827,1175,294,864,1844,0.2493824982357092,39.0,86,48.0,12,11933.0,0,1303,88.0,63.0,215.0,15,0.0,,2836.333333333333,3.7284052180044656,1982 - 1996,Frank Viola,1996,6
608,candito01,151,164,451,410,68,0,11,8175,2662,1130,250,883,1735,0.245639937252007,31.0,120,85.0,27,11568.0,11,1299,108.0,91.0,221.0,16,0.0,,2725.0,3.73211009174312,1983 - 1999,Tom Candiotti,1999,6
609,coxda01,74,75,278,174,21,8,5,3894,1292,525,102,432,723,0.2491322792132665,46.0,40,19.0,14,5464.0,35,602,68.0,40.0,128.0,11,0.0,,1298.0,3.640215716486903,1983 - 1995,Danny Cox,1995,2
610,darliro01,136,116,382,364,37,0,13,7081,2244,1016,239,906,1590,0.2406434316353887,40.0,97,59.0,24,10032.0,5,1139,95.0,73.0,166.0,13,0.0,,2360.333333333333,3.874029091936167,1983 - 1995,Ron Darling,1995,8
611,deleojo01,86,119,415,264,21,6,7,5692,1556,793,153,841,1594,0.2146799116997792,50.0,60,62.0,8,7985.0,36,877,77.0,63.0,96.0,13,0.0,,1897.3333333333333,3.761595221363317,1983 - 1995,Jose DeLeon,1995,-1
612,fernasi01,114,96,307,300,25,1,9,5600,1421,696,191,715,1743,0.2023928215353938,33.0,22,41.0,19,7668.0,2,749,62.0,57.0,73.0,15,0.0,,1866.6666666666667,3.355714285714285,1983 - 1997,Sid Fernandez,1997,-1
613,grosske01,142,158,474,368,42,5,14,7463,2519,1137,230,986,1727,0.2523542376277299,76.0,53,79.0,35,10791.0,38,1245,104.0,70.0,158.0,15,0.0,,2487.6666666666665,4.113493233284203,1983 - 1997,Kevin Gross,1997,7
614,hershor01,204,150,510,466,68,5,25,9391,2939,1211,235,1007,2014,0.2383617193836172,108.0,121,117.0,23,13150.0,19,1366,124.0,73.0,314.0,18,0.0,,3130.333333333333,3.4817378340964757,1983 - 2000,Orel Hershiser,2000,1
615,jacksda02,112,131,353,324,44,1,15,6218,2110,923,133,816,1225,0.2533621517771374,39.0,47,50.0,12,8986.0,11,1061,117.0,68.0,208.0,15,0.0,,2072.6666666666665,4.0078803473785785,1983 - 1997,Danny Jackson,1997,4
616,kruegbi01,68,66,301,164,9,4,2,3583,1305,577,104,493,639,0.2669803600654664,32.0,70,24.0,10,5257.0,34,685,33.0,48.0,125.0,13,0.0,,1194.3333333333333,4.348032375104661,1983 - 1995,Bill Krueger,1995,3
617,leffecr01,58,72,696,45,1,101,0,3437,1108,436,120,322,719,0.2437843784378437,55.0,31,11.0,10,4754.0,286,490,78.0,39.0,88.0,12,0.0,,1145.6666666666667,3.425080011638056,1983 - 1994,Craig Lefferts,1994,3
618,rasmude01,91,77,256,235,21,0,5,4382,1424,673,175,522,835,0.2452635204960385,23.0,52,26.0,14,6194.0,7,747,51.0,50.0,107.0,12,0.0,,1460.6666666666667,4.146736649931538,1983 - 1995,Dennis Rasmussen,1995,2
619,russeje01,56,73,589,79,11,186,2,3299,1065,458,100,415,693,0.2440421631530706,43.0,46,28.0,12,4694.0,340,525,32.0,41.0,112.0,14,0.0,,1099.6666666666667,3.7484086086692936,1983 - 1996,Jeff Russell,1996,3
620,youngcu01,69,53,251,162,15,0,3,3321,1133,530,147,366,536,0.2543780871127076,11.0,26,33.0,14,4731.0,18,581,29.0,29.0,95.0,11,0.0,,1107.0,4.308943089430894,1983 - 1993,Curt Young,1993,3
621,bielemi01,70,73,347,178,7,5,4,3693,1236,572,116,496,783,0.2507608034083993,45.0,51,19.0,15,5329.0,48,633,62.0,38.0,83.0,14,0.0,,1231.0,4.181965881397238,1984 - 1997,Mike Bielecki,1997,3
622,brownto05,123,90,302,300,31,0,12,5763,1931,841,236,511,1000,0.2509747855471796,61.0,25,32.0,13,8066.0,1,913,87.0,62.0,126.0,12,0.0,,1921.0,3.940135346173868,1984 - 1995,Tom Browning,1995,11
623,clemero02,354,184,709,707,118,0,46,14750,4185,1707,363,1580,4672,0.2210192764721415,63.0,143,159.0,20,20240.0,0,1885,119.0,103.0,329.0,24,0.0,,4916.666666666667,3.124677966101695,1984 - 2007,Roger Clemens,2007,1
624,deshaji01,84,95,257,253,15,0,6,4575,1434,702,179,575,951,0.2386420369445831,39.0,19,27.0,35,6432.0,1,743,66.0,58.0,81.0,12,0.0,,1525.0,4.142950819672131,1984 - 1995,Jim Deshaies,1995,2
625,farrst01,48,45,509,28,1,132,1,2473,751,298,70,334,668,0.232940446650124,47.0,24,32.0,5,3487.0,313,326,23.0,24.0,74.0,11,0.0,,824.3333333333334,3.253538212697129,1984 - 1994,Steve Farr,1994,0
626,francjo01,90,87,1119,0,0,424,0,3737,1166,400,81,495,975,0.2378135835202937,78.0,54,22.0,9,5312.0,774,466,82.0,31.0,116.0,21,0.0,,1245.6666666666667,2.89001873160289,1984 - 2005,John Franco,2005,3
627,goodedw01,194,112,430,410,68,3,24,8402,2564,1091,210,954,2293,0.2338136056903155,42.0,76,78.0,33,11705.0,4,1198,84.0,68.0,197.0,16,0.0,,2800.6666666666665,3.505950964056177,1984 - 2000,Dwight Gooden,2000,6
628,gubicma01,132,136,384,329,42,2,16,6670,2239,978,155,786,1371,0.2513188910090919,39.0,107,58.0,11,9487.0,14,1063,65.0,82.0,214.0,14,0.0,,2223.333333333333,3.958920539730135,1984 - 1997,Mark Gubicza,1997,5
629,guettle01,38,36,425,23,3,25,1,1975,717,317,52,222,287,0.2663447251114413,41.0,22,16.0,1,2836.0,155,351,26.0,27.0,97.0,11,0.0,,658.3333333333334,4.333670886075949,1984 - 1996,Lee Guetterman,1996,0
630,henrydw01,14,15,256,1,0,14,0,1004,298,173,26,216,275,0.2288786482334869,22.0,41,9.0,3,1500.0,99,184,23.0,14.0,14.0,11,0.0,,334.6666666666667,4.652390438247012,1984 - 1995,Dwayne Henry,1995,0
631,heskejo01,60,47,339,114,4,21,2,2885,947,404,85,378,726,0.2471294363256785,48.0,47,9.0,16,4113.0,79,469,42.0,32.0,97.0,11,0.0,,961.6666666666666,3.7809358752166378,1984 - 1994,Joe Hesketh,1994,3
632,keyji01,186,117,470,389,34,10,13,7775,2518,1010,254,668,1538,0.2446322743612163,29.0,50,38.0,12,10719.0,28,1104,88.0,69.0,234.0,15,0.0,,2591.6666666666665,3.5073954983922837,1984 - 1998,Jimmy Key,1998,7
633,langsma01,179,158,457,428,81,0,18,8888,2723,1306,311,1289,2464,0.2345189906123503,34.0,89,46.0,22,12562.0,3,1438,89.0,81.0,248.0,16,0.0,,2962.6666666666665,3.9673717371737176,1984 - 1999,Mark Langston,1999,6
634,rijojo01,116,91,376,269,22,3,4,5640,1710,676,147,663,1606,0.2326530612244897,34.0,30,28.0,28,7867.0,43,772,81.0,45.0,119.0,14,0.0,,1880.0,3.2361702127659573,1984 - 2002,Jose Rijo,2002,-1
635,saberbr01,167,117,399,371,76,1,16,7688,2452,952,218,471,1715,0.2418145956607495,34.0,53,59.0,12,10421.0,13,1036,89.0,68.0,167.0,16,0.0,,2562.6666666666665,3.3433922996878254,1984 - 2001,Bret Saberhagen,2001,7
636,smithza01,100,115,360,291,35,3,16,5758,1980,798,122,583,1011,0.2558800723701215,55.0,28,31.0,5,8077.0,16,933,110.0,42.0,263.0,13,0.0,,1919.3333333333333,3.741924279263633,1984 - 1996,Zane Smith,1996,-1
637,aguilri01,86,81,732,89,10,318,0,3874,1233,512,138,351,1030,0.2414333268063442,42.0,53,36.0,10,5391.0,557,568,52.0,33.0,94.0,16,0.0,,1291.3333333333333,3.5684047496128035,1985 - 2000,Rick Aguilera,2000,3
638,boevejo01,34,45,516,0,0,49,0,2263,751,329,75,343,541,0.2491705374917053,70.0,30,16.0,4,3301.0,257,362,44.0,31.0,47.0,12,0.0,,754.3333333333334,3.925320371188688,1985 - 1996,Joe Boever,1996,0
